"code","Nom vrac","marque","type vrac","Agitateur","Jupe","T°C jupe","Pompe","Etuve","T°C ambiante","Rincage Eko","Labo validation","Circuit Fermé Microbio","Circuit Fermé en Trémis","Microbio validation","Commentaire"
"VRL25421","Cr. Caramel peaux normales","Novexpert",,"Nc","Pour le maintenir en T° oui, sinon NON ",,"Nc","NON","Nc","NON","NON","oui","Non","OUI","Se fluidifie à la turbine"
"VRL25271","Fluide pureté ","Novexpert ",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","oui","non","oui",
"VRT25081","UV Daily SPF50","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","oui","non","oui",
"KE23019","Masque creme greenfiller","E.B","VRE21171","Nc","Nc",,"Nc","Nc","Nc","NON","NON","oui","non","oui",
"ke23027","huile tomate demaquillant","E.B",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NC",,"NON",
"vre20031","huile seche satin monoi","E.B",,"OUI","NON",,"OUI","NON","Nc","NON","OUI","oui","OUI","OUI",
"VRE20382","Lait tomate demaquillante","Ella Bache",,"OUI","NON",,"NON","OUI","Nc","NON","OUI","OUI","OUI","OUI",
"pf043","Kapidoux shpg derm apaisant","toofruit","vro25341","NON","NON",,"OUI","NON","Nc","NON","OUI","non","non","NON","Craint la chauffe avec un gros dephasage"
"VRe23251","Le masque creme","Elle Bache",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NC",,"NON",
"VRT26021","Sérum cryo zones rebelles","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NC",,"NON","Etude rheo NA. Pour info : la visco baisse au cisaillement"
"Vrt24241","Fluide fondant age protect spf 50ml","Tha",,"OUI","NON",,"OUI","NON","Nc","NON","OUI","OUI","NON","OUI",
"VRE26131","Soin regard rénov éclat","E.B",,"OUI","NON",,"OUI","NON","Nc","NON","OUI","NON","NON","NON",
"VRT17021","L ESSENCE PDO","Thalgo",,"NON","NON",,"OUI","NON","Nc","NON","OUI","Oui","non","oui",
"VRT21144","Lotion tonique de beauté ","Thalgo","Lotion","oui","Nc",,"Oui","Nc","Nc","NON","OUI","OUI",,"OUI",
"vrt21122","Écume d'eau nettoyante ","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","OUI","OUI","NON","OUI",
"VRT20152","Gel creme rehydratant 24h ","Tha","Gt25024","Nc","Nc",,"Nc","Nc","Nc","NON","NON","OUI",,"OUI",
"VRT16012","le masque PDO","thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NON","NON","NON",
"VRT20134","creme fondante rehydratante 24","thalgo",,"NON","NON",,"NON","NON","Nc","NON","OUI","OUI",,"OUI","Sensible au cisaillement (perte de 70%) avec un réseau µscope complètement lâche"
"Vrt16321","Gelée douceur purifiante","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NON","NON","NON","Attention microbiologie."
"Rt380901","Gel neutre hydratant ","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","OUI","OUI","OUI",
"Vre20041","Sublime skin-lotion autobronzante","Ella bâché ",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","OUI","OUI","OUI",
"Vrt25131","Gel douche marin revitalisant ","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","OUI","NON","OUI",
"Vrl21321","Contour des yeux lifting eclat ","Novexpert ",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NON","NON","NON",
"Vre20331","Nutri. Lab - injection","Ella bache",,"NON","NON",,"OUI","Nc","Nc","NON","OUI","OUI","NON","OUI","Contient du Carbopol, craint l'agitation"
"Vro25341","Kapidoux","Too fruit",,"NON","NON",,"OUI","NON","Nc","NON","OUI","NC","NON","NON","Craint la chauffe, gros dephasage"
"vrt16021","Le concentré Prodige des Océans","Thalgo",,"OUI ","NON",,"OUI","NON","Nc","NON","OUI","OUI","NON","OUI","A conditionner sous agitation (125 mini). L'actif décante très rapidement."
"Vrl25091","Booster vitamine c 30%","Novexpert ",,"NON","NON",,"OUI","NON","Nc","NON","OUI","NON","NON","NON","PEUT AVOIR UN DEPOT DE SICILE DANS LE FOND"
"Vre23191","Essence micro-peeling","Ella bache",,"Nc","Nc",,"Nc","Nc","Nc","NON","NON","NC",,"NON",
"Vrt20092","Huile de douche aromatique ","Thalgo",,"NON","NON",,"OUI","NON","Nc","NON","OUI","OUI","NON","OUI",
