"code","Nom vrac","marque","type vrac","Agitateur","Jupe","T°C jupe","Pompe","Etuve","T°C ambiante","Rincage Eko","Labo validation","Circuit Fermé Microbio","Circuit Fermé en Trémis","Microbio validation","Commentaire"
"VRT21221","Soin hydratation intense","tha",,"Oui","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT24041","Masque apaisant repar","tha",,"NON","NON",,"NON","NON","Nc",,"OUI","NON",,"OUI","Effet neige qui disparait à la contrainte"
"VRT15072","Creme nutri-apaisante","tha",,"Nc","Nc",,"OUI","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT21141","Lotion tonique de beauté","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT21133","Eau micellaire demaquillante","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRP19051","Lotion pre-post epilation peau","P.R",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT21103","Lait veloute demaquillant","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"RT321005","Shampoing douche remineralisant","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRE11232","Super serum tissulex","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19211","Lotion exfoliante","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT21101","Lait veloute demaquillant","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT23451","Huile de modelage relaxante","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","PAS DE STOCKAGE"
"VRT24281","Huilde de modelage marine","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","PAS DE STOCKAGE"
"V238","mousse flash eclat","Nov",,"OUI","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI",
"V241","Brume hydro-tonique","Nov","J+1","OUI","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI","J+1 car parfum déphase"
"VRL22451","Booster pro collagene","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI","VRAC SENSIBLE"
"VRL20421","Booster a l'acide hyaluronique","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRL23901","Soin peeling vitamine C","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRP15201","Lotion bleue assainissante","P.R",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRP15212","Huile pre & post epil","P.R",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRP22342","Mousse intime micro peel","P.R",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRP23591","DOUBLE GOMMAGE","PR",,"Nc","Oui","50","Nc","Oui","Nc",,"OUI","OUI",,"OUI",
"VRL20071","MASQUE TRIPLE BLACK","NOVEXPERT",,"OUI","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRE19121","crème tomate éclat","eba","H0","Oui","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRE22231","creme tomate glow","eba","J0","Oui","Non",,"Nc","Non","Nc",,"OUI","OUI",,"OUI",
"VRT24271","huile solaire sublimatrice","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT24261","spray lacté hydratant spf50","tha","J+1","OUI","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI","déphase rapidement, l'agitation est recommandée. Filtre entré machine obligatoire grox cristaux présent dans vrac."
"VRT23061","gommage marin revitalisant","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT23051","baume à lèvres nutri-confort","tha","J0","OUI","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI","la chauffe impact la visco (+ il chauffe, + la visco augmente)"
"VRT19142","Serum intensif energisant","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE23201","SUPER SERUM MICRO-PEELING","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE23181","CREME TOMATE ORIGINALE","eba","J0","Nc","OUI",,"Nc","OUI","Nc",,"OUI","OUI",,"OUI",
"VRE23242","SOIN NUIT MICRO-PEELING","eba",,"OUI","Nc",,"Nc","Nc","Nc",,"NON","OUI",,"OUI","agitateur si besoin autorisé"
"VRT23021","CREME NUTRI-CONFORT","tha","J0","NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","Baisse de visco à la contrainte et craint la chauffe"
"VRT20141","SERUM DESALTERANT INTENSIF---","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT20472","BAUME SOYEUX HYDRATANT","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT23461","CREME ONCTUEUSE DES ILES","tha",,"NON","NON",,"DISCOPOMPE","NON","Nc",,"OUI","OUI",,"OUI","Baisse de la visco à la contrainte"
"VRT19162","SOIN DEFATIGANT REGARD","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"RT499602","APRES-SHAMPOOING REMINERAL","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"RT320506","GEL DOUCHE MARIN","tha",,"OUI","NON",,"NON","OUI","Nc",,"OUI","OUI",,"OUI",
"VRE14472","PEELING MAGISTRAL NEOPERFECT 2","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19301","BAUME MASSAGE DERMASTIM","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19231","GEL REPULPANT","Thalgo",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE23211","LE REVITALIZER","eba","J0","OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRE22311","GEL REPULPANT","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE21181","OLEO BAUME ANTIAGE","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE20411","Micro exfoliant sans grains pro ","Ella Baché",,"OUI","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"BU93019EB","EXFOLIANT ZONE T","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"V249","VRAC GOMMAGE DOUCEUR","Nov","J+1","Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRL21091","MASQUE DETOX ROSE","Nov",,"NON","NON",,"Nc","NON","Nc",,"OUI","NON",,"OUI","La chauffe fait perdre son eau"
"VRT15351","GOMMAGE DOUCEUR","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRT15131","CREME PIEDS HAUTE NUTRITION---","tha",,"OUI","Nc",,"OUI","Nc","Nc",,"OUI","NON",,"OUI",
"VRT17222","CONCENTRE DE MODELAGE SILH","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT18102","CREME MASSAGE ALGUE PRECIEUSE","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT13232","GOM. FONDANT CRISTAUX MARIN","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT18621","CREME-ECRAN SOLAIRE SPF50","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19221","GEL HYDRATANT IBEAUTY V2","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT21121","ECUME D´EAU NETTOYANTE","tha",,"OUI","NON",,"OUI","OUI","Nc",,"OUI","OUI",,"OUI",
"VRT21111","HUILE-EN-GEL DEMAQUILLANTE","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRT22041","CREME LIFT-FERMETE","tha","J+1","NON","NON",,"NON","NON","Nc",,"OUI","OUI",,"OUI","Vrac sensible chauffe et cisaillement. forte chute de visco à la contrainte. formule sensible"
"VRT20182","MASQUE PRO REHYDRATANT","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19152","GEL-CREME ENERGISANT ANTI-POL","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT23041","MASQUE PRO NUTRI-CONFORT","tha",,"NON","NON",,"Nc","NON","Nc",,"OUI","OUI",,"OUI","Baisse de la visco à la contrainte"
"VRT24011","SERUM APAISANT ANTI-ROUGEURS","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"V210","VRAC LIP'UP","Nov",,"NON","OUI",,"OUI"," OUI (48H maximum)","Nc",,"OUI","NON",,"OUI","ne pas laisser trop longtemps étuvé car fonce"
"V253","VRAC LE GEL REPULP","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRL20441","CREME RICHE PROTECTRICE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRE10031","LAIT TOMATE CORPS","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE14502","AFFINIUM 7.1 %","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE11213","DELIPIDEX 11.6%","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE18201R","DAILY UV SPF50","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE18151","GELEE HYALURONIQUE HYDRA.","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE18561","BAUME MIEL-AMANDES ROSE","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE20011","ENVELOP.SUBLIM/LAIT HYDR.MONOI","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE23231","CREME TEINTEE RENOV.ECLAT---","eba","J0","Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"BU93033EB02","CREME DE LAIT CORPS","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRE23271","EXFOLIANT OLEO-GEL TOMATE","eba",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRE11221","LASTEX","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRL231021","CREME ANTI-AGE EXPERT","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V204","VRAC CREME REPULP","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRL22501","CREME CARAMEL PEAUX CLAIRES","Nov",,"NON","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI",
"VRL22511","CREME CARAMEL PEAUX NORMAL","Nov",,"NON","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI",
"V215","VRAC EXFOLIANT EXPERT","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V217","VRAC GELEE MOUSSANTE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V218","VRAC STOP BOUTON EXPRESS","Nov","LOTION","OUI","NON",,"NON","NON","Nc",,"OUI","NON",,"OUI",
"V219","VRAC FLUIDE PURETE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V230","VRAC FLUIDE HYDRO-BIOTIQUE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V231","VRAC CREME HYDRO-BIOTIQUE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V232","VRAC NETTOYANT LACTE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRL22471","BAUME DEMAQUILLANT","Nov",,"NON","NON",,"OUI","NON","Nc",,"OUI","NON",,"OUI","se viscose avec l'agitation"
"VRL23931","CREME LEGERE VITAMINE C","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRL24391","CREME ANTI TACHES","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRP13022","DOUBLE GOMMAGE","P.R","H0","Nc","OUI",,"OUI","OUI","Nc",,"OUI","OUI",,"OUI",
"VRT11252","SOL.ANTI-REPOUS. Z.SENSIBLE","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT11262","SOIN SPECIF. POILS INCARNES","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRP20121R","LAIT RALENTISSEUR REPOUSSE","P.R",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRP21261","LAIT HYDRATANT PERRON RIGOT","P.R",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRP22551","SERUM RALENTISSEUR DE REPOUSSE","P.R",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRP23601","SOIN SPECIAL POILS INCARNES","P.R",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRP22331","GEL RAFRAICHISSANT","P.R",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRP24321","GEL RAFRAICHISSANT","P.R",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT15031","CORRECTEUR IMPERFECTIONS","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"RT426001","LAIT ACTIVAT DE BRONZAGE","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"RT438501","LAIT SOLAIRES AD SPF30","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"RT438001","FLUIDE&LAIT SOLAI. AD SPF15","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT15331","CREME DE MOUSSE NETTOYANTE","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT17261","GEL PLASMALG","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI","attention gonfle avec l'alcool"
"VRT16331","LOTION POUDREE MATIFIANTE---","Tha","j+1","OUI","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT18091","GOMMAGE DOUCHE SABLE ROSE","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19031","DOUCHE DES ILES","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19041","LAIT IRISE DES ILES","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT19161","SOIN ENERGISANT REGARD","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"Vrt19292","MASQUE PRO CORR.RIDES","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT21201","BAUME APRES-RASAGE","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT21211","GEL NETTOYANT/DOUCHE REVEIL","Tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"RT535002","SERUM DEFATIGANT YEUX","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT23081","GEL DOUCHE MARIN REVITALISANT","tha",,"NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","Baisse de la visco à la contrainte"
"VRT24021","FLUIDE APAISANT","Tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRL22531","CDY PRO COLLAGENE","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"V206","VRAC SERUM LIFTING INSTANT","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NON",,"OUI",
"VRT19271","SERUM INTENSIF RIDES","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT21131","EAU MICELLAIRE DEMAQUILLAN","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"MP154058","GRAND BLEU SUPHYDRO 1428704",,,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRT16032","LE BAUME DE MASSAGE PRODIGE DE","tha","J0","NON","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","J0 PAS IMPACTANT"
"VRT15432","CIRE DE MASSAGE","tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"VRL20461","CREME EXTRA RICHE REPARATRI","Nov","J0","NON","Nc",,"Nc","NON","Nc",,"OUI","NON",,"OUI",
"VRT20101","PATE EXFOLIANTE AU GINGEMBRE","tha",,"NON","NON",,"DISCOPOMPE","NON","Nc",,"OUI","OUI",,"OUI",
"RT311001","HUILE DE MASSAGE NEUTRE","tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","NE PAS STOCKER"
"VRT23011","Huile serum nutri-confort","Tha",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI",
"VRE24101","Soin nuit hydra repulpant","Eba","J0","Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"V237","Eau micellaire acide hyalu","Nov",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","NC",,"NON",
"VRE20361","Eau tomate demaquillante","EBA",,"OUI","NON",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","mettre filtre a l'entree machine "
"VRT22031","Serum intense lift fermete","Thaglo",,"NON","NON",,"NON","NON","Nc",,"OUI","OUI",,"OUI","Formule sensible "
"VRE20391","TONIQUE TOMATE","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI","Filtration obligatoire au condit"
"VRE22242","Creme legere micro-comblante","EBA",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","oui",,"OUI",
"VRT24051","Fluide fondant repulpant","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"Vrt24251","Fluide fondant spf30 age pro.","Tha",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"Vre24191","Creme pro-liftante","Eba","J0","NON","NON",,"Nc","NON","Nc",,"OUI","OUI",,"OUI",
"VRE24201","Creme riche pro-liftante","Eba","HO","NON","NON",,"NON","NON","Nc",,"OUI","OUI",,"OUI","Vrac irréversible à la chauffe + agitation 89.5% . Réseau microscope complètement détruit et aspect après rheo NCF "
"vrt15091","concentré multi apaisant 1.2ml","thalgo",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
"vre24211","Super serum pro-liftat","eba",,"Nc","Nc",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI",
