"Titre","Créé","Modifié","Nom","numerosLot","numerosOf","Of precedent","Of precedent: Nom","Of Lavage","Of Lavage: Nom","Date","Facing","Régleur","Moussant","Ref flacon","Observation","Programme","Godet","Volume","Volume démarrage","Filtre","Pompe 1","Motorisé 1","valeur 1","Bute bec 1","tube bec 1","Centreur 1","Pompe 2","motorisé 2","valeur 2","bute bec 2","tube bec 2","Centreur 2","Pompe 3","motorisé 3","valeur 3","bute bec 3","tube bec 3","Centreur 3","Pompe 4","valeur 4","bute bec 4","tube bec 4","Centreur 4","Type de bec","H machine","ctrl jus H","ctrl jus prof","ctrl ultra","H compo 1","Prés_Marteau","H marteau","Embout","H compo 2","Prés_Visseuse","couple vis","buté vis","pince vis","H pince ext","Type pince ext","H pince int","Type pince int","cadence","visseuse","H finale","convoyeur","cames bec on","cames bec off","presence_Ceuilleur","Cueilleur","Cueilleur 1 ","Cueilleur 2","Cueilleur 3","Hauteur rail","Dégodiseur A","Dégodiseur B","Dégodiseur C","Etiquette","Consigne Etiquette","Etiqueteuse","vrac","vrac: type vrac","vrac: Pompe","vrac: Etuve","vrac: T°C ambiante","vrac: Rincage Eko","vrac: Circuit Fermé Microbio","CF","vrac: Commentaire","vrac: Labo validation","vrac: Microbio validation"
"Vt22011","22/01/2026 23:50","09/02/2026 23:07","Écume d'eau ","2512174",,,,,,"26/01/23",,"Ht","Oui",,,"N°32","F4","150","150.7","Vrai","60","Vrai","31","0","14T","14x42","250","Vrai","32",,"14TL",,,"False",,,,,,,,,,"MO1R","970,3","134","29","0","0","False","0",,"168","Vrai","1","F4","F4","150","F4","116","F4","25",,"217.5",,,,"False","Non",,,"0",,,,,"NON",,"Non","vrt21122",,"Nc","Nc","Nc","NON","OUI",,,"OUI","OUI"
"Kt19019","05/01/2026 05:29","09/02/2026 23:07","Lotion exfoliante ","2512002",,,,,,"26/01/05",,"Ht","Non",,,"N°72","F4","250","250,8","False","60","False","48","0","14T","14","250","Vrai","55",,"14TL","14","125","False","0",,"14T","14",,"0","6","8L aspi",,"MO1R","990,83","186","31","0","0","False","0",,"210","Vrai","1","F6","F1","208","F4","60","F4","25",,"243",,,,"False","Non",,,"0",,"53","0,8","208","SIMPLE",,"Oui","VRT19211",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI","OUI"
"KT22015","06/01/2026 02:35","09/02/2026 23:07","Gelée micellaire demaq yeux","2512028",,,,,,"26/01/06",,"ht","OUI",,"Essai bec obturateur long passer en deux bec pour faciliter ajustement dose avec 1 60 en fin ","N°38","F4","250","250,9","False","250","Vrai","66",,"12DOL",,,"Vrai","21",,"14MW","14",,"False",,,,,,,,,,"MO 1","990,83","181","33",,,"False",,,"210","Vrai","4","F6","F1","198","F4","60","F4","25",,"244",,,,"False",,,,,,,,,"SIMPLE",,"Oui",,,,,,,,,,,
"KP15001","09/02/2026 00:10","09/02/2026 04:42","Lotion bleu","2601085",,,"Lotion bleu",,"shampoing douche revitalisant","26/02/09",,"Ht","Oui",,"Godet ouvert au max attention godet desserer pour facilité le degodisage ","N°75","1L","1000","1000,4","Vrai","250","Vrai","72",,"14TL","14","250","Vrai","72",,"14TL","14","250","Vrai","62",,"14TL","14","250","63",,"14T","14","MO 1","1003","200","13",,"275","False",,,"201","Vrai","1,2","F10","F10","224","F1L","0","F1L","14",,"257",,,,"False",,,,,,"127","46","127","NON",,,"VRP15201",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"KP15001","08/02/2026 23:07","09/02/2026 04:39","Lotion bleu","2601121",,,"Lotion bleue",,"shampoing douche revitalisant","26/02/09",,"Ht","Oui",,"Godet ouvert au max attention godet desserer pour facilité le degodisage ","N°75","1L","1000","1004,2","Vrai","250","Vrai","72",,"14TL","14","250","Vrai","72",,"14TL","14","250","Vrai","62",,"14TL","14","250","63",,"14T","14","MO 1","1003","200","13",,"275","False",,,"201","Vrai","1,2","F10","F10","224","F1L","0","F1L","14",,"257",,,,"False",,,,,,"127","46","127","NON",,,"VRP15201",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"Vt22011","24/11/2025 03:58","05/02/2026 05:47","Écume d'eau ","2509025",,,,,,"25/11/24",,"Jb","Oui",,,"N°32","F4","150","150.7","False","60","Vrai","31","0","14T","14x42","250","Vrai","32",,"14TL",,,"False",,,,,,,,,,"MO1R","970,3","134","29","0","0","False","0",,"168","Vrai","1","F4","F4","150","F4","116","F4","25",,"217.5",,,,"False","Non",,,"0",,,,,"NON",,"Non",,,,,,,,,,,
"Vl20022","05/02/2026 01:39","05/02/2026 05:47","Contour des yeux","2512078",,,,,,"26/02/05",,"Ht","Non",,"Ajout rondele F5x25,7 attention pas de contrôle jus","N°82","F5","16","16,5","False","60","Vrai","18,5",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,"MW","950,92",,,,"163","Vrai","388","F9","111","False",,,,,,,,"30",,"158",,,,"False","Non",,,,,,,,"NON",,"Non","VRL22531",,"Nc","Nc","Nc",,"NON",,,"OUI","OUI"
"Vp17004","16/12/2025 09:02","05/02/2026 05:47","Huile pré post epila","2510085",,,,,,"25/12/16","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[25e49bf5d2624a878a1139424e46ffac][1]_[2].jpeg","Jb","Oui",,,"N°29","F4","250","251,3","False","125","False","70",,"14MW","14","125","False","47",,"14MW","8","60","Vrai","51",,"8MW","8",,,,,,"MW","990,37",,,,"252","Vrai","44,8","F9","201","Vrai","1.2","F13","F13","20,6","F4","10,2","F4","20",,"23,45",,,,"False","Non",,,,,"635","54","218","NON",,"Non","VRP15212",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"Vp17004","28/10/2025 01:27","05/02/2026 05:47","Huile pré post epila","2510085",,,,,,"25/10/28",,"Ht","Oui",,,"N°29","F4","250","251,3","False","125","Vrai","70",,"8L","8","125","Vrai","47",,"8L","8","60","False","51",,"8MW","8",,,,,,"L","99037",,,,"252","Vrai","44,8","F9","201","Vrai","1.2","F13","F13","20,6","F4","10,2","F4","20",,"23,45",,,,"False","Non","10,5","5,15","15,8",,"635","54","218","NON",,"Non","VRP15212",,"OUI","NON","Nc",,"OUI",,,"OUI","OUI"
"S220059","14/01/2026 23:24","05/02/2026 05:47","L'essence PDO","2512074",,,,,,"26/01/15",,"ht","Non",,"Mention testeur sur tapis étiqueteuse.","N°36","F20","30","30.7","False","60","Vrai","31",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,"MW","95537","82","37",,,"False",,,"112","Vrai","1’4","F7","F7","114","F7","151","F7","30",,"161",,,,"False","Non",,,,,"1070","93","28","NON",,"Non","VRT17021",,"OUI","NON","Nc","NON","Oui","NC",,"OUI","oui"
"Vt23003","08/01/2026 04:50","05/02/2026 05:47","Spray lactee hydratant spf50+","2601022",,,,,,"26/01/13","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[8fb5dd5074624aae9fedd4bf44d6044a][1]_[1].jpeg","Ht","Oui","Elancia 150ml","Ajout d'un filtre en entré machine.poids instable beaucoup de variation ","N°57","F11","150","150.1","Vrai","125","Vrai","40",,"14TL","14","125","False","35",,"14TL","14","60","Vrai","25",,"14T","14",,,,,,"MO 2","98118","155","35",,,"False",,,"197","Vrai","1,2","F1.2","F6","181","F11","83","F11","28",,"238",,,,"False",,,,,,,,,"DOUBLE",,"Double etiquette","VRT24261","J+1","OUI","NON","Nc",,"NON","NON","déphase rapidement, l'agitation est recommandée. Filtre entré machine obligatoire grox cristaux présent dans vrac.","OUI","OUI"
"Vt23003","27/01/2026 01:20","05/02/2026 05:46","Spray lactee hydratant spf50+","2601153",,,,,,"26/01/26","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[c4d723db60b04875b97b98bb4625654b][1]_[1].jpeg","Ht","Oui","Elancia 150ml","Ajout d'un filtre en entré machine.probleme de poids au démarrage. Stable le lendemain matin  ","N°57","F11","150","151,1","Vrai","125","Vrai","40",,"14TL","14","125","Vrai","35",,"14TL","14","60","Vrai","25",,"14T","14",,,,,,"MO 2","98118","155","35",,,"False",,,"197","Vrai","1,2","F1.2","F6","181","F11","83","F11","30",,"238",,,,"False",,,,,,,,,"DOUBLE",,"Double etiquette","VRT24261","J+1","OUI","NON","Nc",,"NON","NON","déphase rapidement, l'agitation est recommandée. Filtre entré machine obligatoire grox cristaux présent dans vrac.","OUI","OUI"
"Vt23003","13/01/2026 05:36","05/02/2026 05:46","Spray lactee hydratant spf50+","2601031",,,,,,"26/01/13","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[7b090591a05a4ca9a045f25f75162d4e][1]_[1].jpeg","Ht","Oui","Elancia 150ml","Ajout d'un filtre en entré machine.probleme de poids au démarrage. Stable le lendemain matin  ","N°57","F11","150","151,3","Vrai","125","Vrai","40",,"14TL","14","125","Vrai","35",,"14TL","14","60","Vrai","25",,"14T","14",,,,,,"MO 2","98118","155","35",,,"False",,,"197","Vrai","1,2","F1.2","F6","181","F11","83","F11","28",,"238",,,,"False",,,,,,,,,"DOUBLE",,"Double etiquette","VRT24261","J+1","OUI","NON","Nc",,"NON","NON","déphase rapidement, l'agitation est recommandée. Filtre entré machine obligatoire grox cristaux présent dans vrac.","OUI","OUI"
"Ve23024","20/10/2025 00:50","05/02/2026 05:46","Lait tomate demaquillant","2509116",,,,,,"25/10/20","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[ba6317441a8b4c49b247b8af786e1e3f][1]_[1].jpeg","Ht","Non",,,"N°81","F3","200","N.C","False","250","False","49",,"12D","12","60","Vrai","21",,"12D","12",,"False",,,,,,,,,,,"983,8","16,3","3,2",,"23,5","Vrai","44,6",,"17,5","Vrai","1.2","F11","F11","19","F3","7,6","F3","25",,"221",,,,"False",,,,,,,,,"DOUBLE",,"Contre etiquette ","VRE20382",,"NON","OUI","Nc","NON","OUI",,,"OUI","OUI"
"Ve23026","13/10/2025 02:10","05/02/2026 05:46","Tonique tomate éclat","2509117",,,,,,"25/10/13","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[4b3cd996420d471cbcc0b11cc34f1c54][1]_[1].jpeg","Ht","Oui",,,"N°36","F3","200","200,3","False","60","False","64",,"14T","14","250","Vrai","38",,"12TL","14",,"False",,,,,,,,,,"MO1R","986","164","34",,"233","Vrai","239","F9","184","Vrai","1","F11","F11","177","F3","130","F3","20",,"221",,,,"False","Non",,,,,"266","30","178","DOUBLE",,"Contre etiquette","VRE20391",,"Nc","Nc","Nc",,"OUI",,"Filtration obligatoire au condit","OUI","OUI"
"Ve23026","15/01/2026 22:56","05/02/2026 05:46","Tonique tomate éclat","2512163",,,,,,"26/01/16","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[d1b8b0f17f6c4c298774e7ebb296a24b][1]_[1].jpeg","Ht","Oui",,,"N°36","F3","200","200,4","Vrai","60","False","64",,"14T","14","250","Vrai","38",,"14TL","14",,"False",,,,,,,,,,"MO1R","986","164","34",,"234","Vrai","345","F9","187","Vrai","1","F11","F11","177","F3","130","F3","20",,"221,5",,,,"False","Non",,,,,"266","30","178","DOUBLE",,"Contre etiquette","VRE20391",,"Nc","Nc","Nc",,"OUI","OUI","Filtration obligatoire au condit","OUI","OUI"
"Vt24014","19/01/2026 00:01","05/02/2026 05:44","Lotion tonique de beaute","2512139",,,,,,"26/01/19","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[86bf4e30e5e24790aa0688ecd0cb448e][1]_[1].jpeg","HT","Oui",,"Probleme ceuilleur passage manuel attente retour Sébastien/ maintenance ","N°21","F3","200","200,8","Vrai","60","False","58",,"14T","14x42","250","Vrai","39",,"14TL","14x42",,"False",,,,,,,,,,"MO 2","983,6","162","37",,,"False",,,"197","Vrai","1,4","F1","F1","192","F3","130","F3","24",,"237",,,,"Vrai","OUI","150","127","545",,"143","4,1","22,1",,,,"VRT21144","Lotion","Oui","Nc","Nc","NON","OUI","NC",,"OUI","OUI"
"Vt24014","05/12/2025 03:00","05/02/2026 05:44","Lotion tonique de beaute","2510227",,,,,,"25/12/10","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[ab02dc1c59b84c828a3659cd1714cb09][1]_[1].jpeg","HT","Oui",,"Étiquette vt24014 passage pince flacon visseuse en f4 tracé avec f3 voir maintenance ","N°21","F3","200","200,9","False","60","False","59",,"14T","14x42","250","Vrai","39",,"14TL","14x42",,"False",,,,,,,,,,"MO 2","982,8","168","35",,,"False",,,"197","Vrai","1,4","F1","F1","198","F4","126","F4","24",,"237",,,,"Vrai","OUI","150","127","545",,"143","4,1","22,1",,,,,,,,,,,,,,
"Vt22015","04/09/2025 02:23","05/02/2026 05:44","Lotion tonique de beaute","2504174A",,,,,,"25/12/04","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[1ed26b74e752490aad1f97fad4214c86][1]_[1].jpeg","HT","Oui",,"Étiquette vt24014 passage pince flacon visseuse en f4 tracé avec f3 voir maintenance ","N°21","F3","200","200,9","False","60","False","59",,"14T","14x42","250","Vrai","39",,"14TL","14x42",,"False",,,,,,,,,,"MO 2","982,8","168","35",,,"False",,,"197","Vrai","1,4","F1","F1","198","F4","126","F4","24",,"237",,,,"Vrai","OUI","150","127","545",,"143","4,1","22,1",,,,,,,,,,,,,,
"VT24015","15/12/2025 00:53","05/02/2026 05:44","Lait Velouté Démaquillant","2509128",,,,,,"25/12/15",,"HT","Non",,"Tuyau rigide obligatoire pour squizz","N°12","F3","200","201,8","False","250","False","49",,"12D","12","60","Vrai","21",,"12D","12",,"False",,,,,,,,,,"MO 1","982,95","164","25",,,"False",,,"187","Vrai","0.9","F1","F1","190","F3","128","F3","23",,"236,5",,,,"Vrai","OUI","149","125","553",,,,,,,,"VRT21103",,"Nc","Nc","Nc",,"OUI","OUI",,"OUI","OUI"
"jt25001","04/02/2026 06:26","05/02/2026 05:44","shampoing douche revitalisant","2512165A",,,,,,"26/02/04",,"HT","non",,,"N°31","F18","380","380,4","False","250","Vrai","69",,"12DO","12","125","Vrai","64",,"12DO","12","60","Vrai","12","Petite","12DO","12",,,,,,"MO 1","988","175","23",,,"False",,,"201","Vrai","1,45","F1","F1","202","F1","64","F1","20",,"232",,,,"Vrai","OUI","162","15","576",,,,,,,,,,,,,,,,,,
"JE24001","11/12/2025 23:24","05/02/2026 05:44","Soin conditionner cheveux","2511077",,,,,,"25/12/11","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[7921302fcd7c4a8f8e8815dd6f64b939][1]_[1].jpeg","Ht","Oui",,,"N°77","F18","380","380,4","False","250","Vrai","70",,"12DO","12x42","125","Vrai","56",,"12DO","12x42","60","Vrai","21",,"12DO","12x42",,,,,,"MO 1","986,5","175","30",,,"False",,,"195","Vrai","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25171",,"Nc","Nc","Nc","NON","NC","NC",,"NON","NON"
"JE24002","21/01/2026 23:05","05/02/2026 05:44","Lait corps hydratant","2512098A",,,,,,"26/01/22",,"HT","Non",,"Produit viscosé -> ""froid"" -> perte de poids sur 5 flacons -> vitesse baissé a 10 -> poids quasi stable","N°39","F18","380","380,6","False","250","False","65",,"12D","12x42","125","False","65",,"12D","12x42","60","Vrai","30",,"12D","12x42",,,,,,"MO 1","989","17,3","23",,,"False",,,,"Vrai","0.8","F1","F1","21,1","F1","11,4","F1","23",,"29,5",,,,"Vrai","OUI","16.3","11.2","57",,"154","1","149",,,,"VRE25181",,"Nc","Nc","Nc","NON","OUI","OUI","Probleme viscosité apres 1 semaine de prod","OUI","OUI"
"jt25001","21/01/2026 03:49","05/02/2026 05:44","shampoing douche revitalisant","2510135",,,,,,"26/01/21",,"HT","non",,,"N°31","F18","380","380,7","False","250","Vrai","70",,"12DO","12","125","Vrai","65",,"12DO","12","60","Vrai","12","Petite","12DO","12",,,,,,"MO 1","988","175","23",,,"False",,,"201","Vrai","1,45","F1","F1","202","F1","64","F1","20",,"232",,,,"Vrai","OUI","162","15","576",,,,,,,,"RT499602",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"JE24002","12/01/2026 05:07","05/02/2026 05:44","Lait corps hydratant","2504108A",,,,,,"26/01/12",,"Jb","Non",,"Produit viscosé -> ""froid"" -> perte de poids sur 5 flacons -> vitesse baissé a 10 -> poids quasi stable","N°39","F18","380","380.3","False","250","False","65",,"12D","12x42","125","False","65",,"12D","12x42","60","Vrai","30",,"12D","12x42",,,,,,"MO 1","989","17,3","23",,,"False",,,,"Vrai","0.8","F1","F1","21,1","F1","11,4","F1","23",,"29,5",,,,"Vrai","OUI","16.3","11.2","57",,"154","1","149",,,,"VRE25181",,"Nc","Nc","Nc","NON","OUI","OUI","Probleme viscosité apres 1 semaine de prod","OUI","OUI"
"JE24002","27/11/2025 00:38","05/02/2026 05:44","Lait corps hydratant","2504108A",,,,,,"26/01/12",,"Ht","Non",,"Produit viscosé -> ""froid"" -> perte de poids sut 5 flacons -> vitesse baissé a 15 -> poids stable","N°39","F18","380","380.3","False","250","False","65",,"12D","12x42","125","False","65",,"12D","12x42","60","Vrai","30",,"12D","12x42",,,,,,"MO 1","989","17,3","23",,,"False",,,,"Vrai","0.8","F1","F1","21,1","F1","11,4","F1","23",,"29,5",,,,"Vrai","OUI","16.3","11.2","57",,"154","1","149",,,,"VRE25181",,"Nc","Nc","Nc","NON","OUI","OUI","Probleme viscosité apres 1 semaine de prod","OUI","OUI"
"Jt22004","30/09/2024 03:00","05/02/2026 05:44","Apres shampoing remineralisant","N.C",,,,,,"25/11/26",,"jb",,,,"N°31","F18","380","380.4","False","250","False","70",,"12D","12","125","False","65",,"12D","12","60","False","12","Petite","12D","12",,,,,,"MO 1","988","175","23",,,"False",,,"201","False","1,45","F1","F1","202","F1","64","F1","20","150","232",,,,"Vrai","OUI","162","15","576",,,,,,,,"RT499602",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"JE24005","22/01/2026 01:25","05/02/2026 05:44","Soins nettoyant mains","2512072",,,,,,"26/01/22","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[3c5fb01d3f454a39a53f05d5f8d879e2][1]_[1].jpeg","Ht","Oui",,,"N°31","F18","380","381","False","250","Vrai","66",,"12DOL","12","125","Vrai","68",,"12DO","12","60","Vrai","30",,"12DO","14x42",,,,,,"MO 1","988","175","30",,,"False",,,"195","False","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI","OUI",,"OUI","OUI"
"JE24004","11/12/2025 08:44","05/02/2026 05:44","Soins lavant corps","2511078",,,,,,"25/12/11","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[b6d6d0edecd349fbb63f396efa5f3c5d][1]_[1].jpeg","ht","Oui",,,"N°31","F18","380","381,1","False","250","Vrai","70",,"14MW","14x42","125","Vrai","56",,"14MW","14x42","60","Vrai","30",,"12DO","12",,,,,,"MW","986,5","175","30",,,"False",,,"195","Vrai","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI","OUI",,"OUI","OUI"
"JE24002","21/01/2026 05:49","05/02/2026 05:44","Lait corps hydratant","2511076A",,,,,,"26/01/21",,"HT","Non",,"Produit viscosé -> ""froid"" -> perte de poids sur 5 flacons -> vitesse baissé a 10 -> poids quasi stable","N°39","F18","380","381,4","False","250","False","65",,"12D","12x42","125","False","65",,"12D","12x42","60","Vrai","30",,"12D","12x42",,,,,,"MO 1","989","17,3","23",,,"False",,,,"Vrai","0.8","F1","F1","21,1","F1","11,4","F1","23",,"29,5",,,,"Vrai","OUI","16.3","11.2","57",,"154","1","149",,,,"VRE25181",,"Nc","Nc","Nc","NON","OUI","OUI","Probleme viscosité apres 1 semaine de prod","OUI","OUI"
"jt25001","21/01/2026 03:50","05/02/2026 05:44","shampoing douche revitalisant","2512165",,,,,,"26/01/21",,"HT","non",,,"N°31","F18","380","381,4","False","250","Vrai","70",,"12DO","12","125","Vrai","65",,"12DO","12","60","Vrai","12","Petite","12DO","12",,,,,,"MO 1","988","175","23",,,"False",,,"201","Vrai","1,45","F1","F1","202","F1","64","F1","20",,"232",,,,"Vrai","OUI","162","15","576",,,,,,,,"RT499602",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"JE24004","20/11/2025 23:25","05/02/2026 05:44","Soins lavant corps","2505182",,,,,,"25/12/11","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[43356b88de4d425db02063f4270209c0][1]_[1].jpeg","jb","Oui",,,"N°31","F18","380","381.5","False","250","Vrai","70",,"14MW","14x42","125","Vrai","60",,"14MW","14x42","60","Vrai","30",,"14MW","14",,,,,,"MW","986,5","175","30",,,"False",,,"195","False","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI","OUI",,"OUI","OUI"
"JE24004","11/12/2025 08:46","05/02/2026 05:43","Soins lavant corps","2510075A",,,,,,"25/12/11","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[b52749e7080c45c8b76e1b3c0a990052][1]_[1].jpeg","ht","Oui",,,"N°31","F18","380","382","False","250","Vrai","70",,"14MW","14x42","125","Vrai","56",,"14MW","14x42","60","Vrai","30",,"12DO","12",,,,,,"MW","986,5","175","30",,,"False",,,"195","Vrai","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI","OUI",,"OUI","OUI"
"Ke24001","19/01/2026 22:24","05/02/2026 05:43","Tonique Tomate eclat pro","2512163",,,,,,"26/01/20","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[9ac869355fa14357a0c31bde3f9adc63][1]_[1].jpeg","Ht","Oui","Roma","Petite goutte sur flacon ","N°58","F2","480","481,3","Vrai","60","False","58",,"14T","14","250","Vrai","62",,"14TL","14","250","Vrai","52",,"14TL","14",,,,,,"MO1R","981","157","21",,,"False",,,"182","False","1","F1","F1","184","F2","131","F2","14",,"227",,,,"Vrai","OUI","145","81","535",,"359","70","166",,,,"VRE20391",,"Nc","Nc","Nc",,"OUI","OUI","Filtration obligatoire au condit","OUI","OUI"
"Ke24001","14/10/2025 00:00","05/02/2026 05:43","Tonique Tomate eclat pro","2507123",,,,,,"25/10/14","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[caa514eab0ba489998bdaf1b6c8d17d0][1]_[1].jpeg","Ht","Oui","Roma","Petite goutte sur flacon ","N°58","F2","480","481,3","False","60","False","58",,"14T","14","250","Vrai","62",,"12TL","14","250","Vrai","52",,"12TL","14",,,,,,"MO1R","980","154","21",,,"False",,,"182","False","1","F1","F1","184","F2","131","F2","14",,"227",,,,"Vrai","OUI","145","81","535",,"359","70","166",,,,"VRE20391",,"Nc","Nc","Nc",,"OUI","OUI","Filtration obligatoire au condit","OUI","OUI"
"Kt22012","30/10/2025 00:39","05/02/2026 05:43","Eau miscellaire","2508043",,,,,,"25/10/30",,"Ht","Oui","Roma","Attention MO2 Obligatoire !!!!! ","N°2","F2","500","501","False","60","Vrai","62",,"12TL","12","250","Vrai","64",,"14TL","14","250","Vrai","52",,"14TL","14",,,,,,"MO 2","979","155","19",,,"False",,,"185","Vrai","1,2","F1","F1","183","F2","84","F2","14",,"231",,,,"Vrai","Oui","145","81","534",,,,,,,,"VRT21131",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"jt25001","03/11/2025 02:13","05/02/2026 05:43","shampoing douche revitalisant",,,,,,,"25/11/03",,"jb","non",,,"N°31","F18","380","N.C","False","250","Vrai","70",,"12DO","12","125","Vrai","65",,"12DO","12","60","Vrai","12","Petite","12DO","12",,,,,,"MO 1","988","175","23",,,"False",,,"201","False","1,45","F1","F1","202","F1","64","F1","20",,"232",,,,"Vrai","OUI","162","15","576",,,,,,,,"RT499602",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"JT24005","17/07/2025 04:56","05/02/2026 05:43","Shampoing marin revit","2504118",,,,,,"25/07/17",,"Ht",,,,"N°31","F18","380","N.C","False","250","False","69",,"12DO","14x42","125","False","60",,"12DO","14x42","60","Vrai","21",,"12DO","14x42",,,,,,"MW","986,5","179","26",,,"False",,,"200","False","1,45","F6","F1","195","F1","97","F1","23",,"243",,,,"Vrai","OUI","158","116","567",,"275","14","127,5",,,,,,,,,,,,,,
"JT24005","17/07/2025 04:56","05/02/2026 05:43","Shampoing marin revit","2505125",,,,,,"25/07/28",,"Ht",,,,"N°31","F18","380","N.C","False","250","False","69",,"12DO","14x42","125","False","60",,"12DO","14x42","60","Vrai","21",,"12DO","14x42",,,,,,"MO 1","986,5","179","26",,,"False",,,"200","False","1,45","F6","F1","195","F1","97","F1","23",,"243",,,,"Vrai","OUI","158","116","567",,"275","14","127,5",,,,,,,,,,,,,,
"JE24004","06/07/2025 23:08","05/02/2026 05:43","Soins lavant corps","2505182",,,,,,"25/07/07","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[f4124b206c164556b8e7d78820c47cde][1]_[1].jpeg","Ht","Oui",,,"N°31","F18","380","N.C","False","250","Vrai","70",,"14MW","14x42","125","Vrai","60",,"14MW","14x42","60","Vrai","30",,"14MW","14",,,,,,"MW","986,5","175","30",,,"False",,,"195","False","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI",,,"OUI","OUI"
"JE24001","01/07/2025 22:50","05/02/2026 05:43","Soin conditionner cheveux","2505182",,,,,,"25/07/02","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[d54712ac988e4069ba28c61a2556437e][1]_[1].jpeg","Ht","Oui",,,"N°77","F18","380","N.C","False","250","Vrai","70",,"12DO","12x42","125","Vrai","68",,"12DO","12x42","60","Vrai","25",,"12DO","12x42",,,,,,"MO 1","986,5","175","30",,,"False",,,"195","False","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25171",,"Nc","Nc","Nc","NON","NC",,,"NON","NON"
"JE24005","01/07/2025 22:48","05/02/2026 05:43","Soins nettoyant mains","2505182",,,,,,"25/07/02","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[d3393af569794abdb0a2a78a74c136c8][1]_[1].jpeg","Ht","Oui",,,"N°31","F18","380","N.C","False","250","Vrai","70",,"14MW","14x42","125","Vrai","70",,"14MW","14x42","60","Vrai","30",,"14MW","14",,,,,,"MO 1","986,5","175","30",,,"False",,,"195","False","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI",,,"OUI","OUI"
"JE24003","23/06/2025 04:58","05/02/2026 05:43","Le soin lavant cheveux ","2504006",,,,,,"25-06-23","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[021210945052491bbab7cb197bb29965][1]_[1].jpeg","Ht","Oui",,,"N°31","F18","380","N.C","False","250","Vrai","70",,"12DO","14x42","125","Vrai","59",,"12DO","14x42","60","Vrai","18",,"12DO","14",,,,,,"MO 1","986,5","175","30",,,"False",,,"195","False","1,1","F1","F1","188","F1","77","F1","23",,"245",,,,"Vrai","OUI","152","76","571",,"305","14","161",,,,"VRE25161",,"OUI","NON","Nc","NON","OUI",,,"OUI","OUI"
