"Titre","Créé","Modifié","Nom","numerosLot","numerosOf","Of precedent","Of precedent: Nom","Of Lavage","Of Lavage: Nom","Date","Facing","Régleur","Moussant","Ref flacon","Observation","Programme","Godet","Volume","Volume démarrage","Filtre","Pompe 1","Motorisé 1","valeur 1","Bute bec 1","tube bec 1","Centreur 1","Pompe 2","motorisé 2","valeur 2","bute bec 2","tube bec 2","Centreur 2","Pompe 3","motorisé 3","valeur 3","bute bec 3","tube bec 3","Centreur 3","Pompe 4","valeur 4","bute bec 4","tube bec 4","Centreur 4","Type de bec","H machine","ctrl jus H","ctrl jus prof","ctrl ultra","H compo 1","Prés_Marteau","H marteau","Embout","H compo 2","Prés_Visseuse","couple vis","buté vis","pince vis","H pince ext","Type pince ext","H pince int","Type pince int","cadence","visseuse","H finale","convoyeur","cames bec on","cames bec off","presence_Ceuilleur","Cueilleur","Cueilleur 1 ","Cueilleur 2","Cueilleur 3","Hauteur rail","Dégodiseur A","Dégodiseur B","Dégodiseur C","Etiquette","Consigne Etiquette","Etiqueteuse","vrac","vrac: type vrac","vrac: Pompe","vrac: Etuve","vrac: T°C ambiante","vrac: Rincage Eko","vrac: Circuit Fermé Microbio","CF","vrac: Commentaire","vrac: Labo validation","vrac: Microbio validation"
"Kt22013","17/02/2026 05:26","17/02/2026 05:27","Ecume d'eau","2507141",,,,,,"26/02/17","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[7c525fe2b5984509a94d184cfffe5c13][1]_[1].jpeg","Jb","Oui","Foamer 150",,"N°32","F4","150","150,8","False","60","False","30",,"12T","12x42","250","Vrai","33",,"12TL","12x42",,"False",,,,,,,,,,"MO1R","969,54","117","33",,,"False",,,"152","False","1","F4","F4","150","F4","165","F4","25",,"218,5",,,,"False",,,,,,"839","63,25","153","NON",,,"vrt21122",,"Nc","Nc","Nc","NON","OUI","OUI",,"OUI","OUI"
"Ep24001","13/02/2026 02:08","16/02/2026 01:35","Huile post epil hw","2601149",,,"Lait tomate demaquillant",,"Tonique tomate éclat","26/02/13",,"Ht","Oui",,,"N°65","F16","30","30,1","False","60","Vrai","32,5",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,"MW","955",,,"176",,"False",,,"110","False",,"F18","F19","120","F16","123","F16","25",,"148",,,,"False",,"971","36","320",,,,,"NON",,,"VRP15212",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"Ve23024","12/02/2026 05:54","12/02/2026 05:55","Lait tomate demaquillant","2601083",,,"Tonique tomate éclat",,"Brume perfection éclat ","26/02/12","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[cc9c48987f8b4db794127a4762725610][1]_[1].jpeg","Ht","Non",,,"N°81","F3","200","201,9","False","250","False","49",,"12D","12","60","Vrai","22",,"12D","12",,"False",,,,,,,,,,,"983,8","16,3","3,2",,"23,5","Vrai","44,6",,"17,5","Vrai","1.2","F11","F11","19","F3","7,6","F3","25",,"221",,,,"False",,,,,,,,,"DOUBLE",,,"VRE20382",,"NON","OUI","Nc","NON","OUI","OUI",,"OUI","OUI"
"Ve23026","12/02/2026 02:17","12/02/2026 02:17","Tonique tomate éclat","2601032",,,"Brume perfection éclat ",,"Flash éclat mousse nettoyante ","26/02/12","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[e1b7043dfa5d4a38ab0693902f7e45fa][1]_[1].jpeg","Ht","Oui",,,"N°36","F3","200","200,4","Vrai","60","False","64",,"14T","14","250","Vrai","38",,"14TL","14",,"False",,,,,,,,,,"MO 2","986","164","34",,"234","Vrai","345","F9","187","Vrai","1","F11","F11","177","F3","130","F3","20",,"221,5",,,,"False",,,,,,"266","30","178","DOUBLE","7mm en bas.",,"VRE20391",,"Nc","Nc","Nc",,"OUI","OUI","Filtration obligatoire au condit","OUI","OUI"
"S210042","11/02/2026 05:15","12/02/2026 00:25","Brume perfection éclat ","2601103",,,"Flash éclat mousse nettoyante ",,"huile soin boost 5 omega","26/02/12","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[33c6edb747e14bc0892a51267c024db8][1]_[2].jpeg","ht","Oui",,,"N°6","F6","60","61,1","Vrai","60","False","21",,"12T","12","125","Vrai","25",,"12TL","12",,"False",,,,,,,,,,"MO1R","968,9","121","38",,,"False",,,"146","Vrai","1","F6","F6","147","F6","120","F6","30",,"203",,,,"False",,,,,,,,,"NON",,,,,,,,,,,,,
"S250001","11/02/2026 00:25","11/02/2026 00:28","Flash éclat mousse nettoyante ","2601091",,,"huile soin boost 5 omega",,"Lotion bleu","26/02/11","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[093cb1d6672842c8b47d9e6d1a466a8e][1]_[1].jpeg","ht","Oui","Foamer 150","Test pompe ab réglage 0.9b 50% vit .Attention serrage flacon à 0,5bar !!! Pas de centrage sur bec 2.","27","F4","152","152,8","Vrai","60","Vrai","31","0","14T","14x42","250","Vrai","33",,"14TL",,,"False",,,,,,,,,,"MO1R","974","119","32","0","0","False","0",,"175","Vrai","1.7","F4 foamer 150","F4","159","F4","154","F4","40",,"228",,,,"False",,,,"0",,,,,"NON",,,"VRL25281",,"OUI","NON","Nc","NON","OUI","OUI",,"OUI","OUI"
"VL20015","10/02/2026 02:22","10/02/2026 02:22","huile soin boost 5 omega","2601081A",,,"huile soin boost 5 omega",,"Contour des yeux","26/02/10","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[0d03755758874231bf71d900753fcdaa][1]_[1].jpeg","HT","non",,"mention ne tiens pas au scotch validation labo car tiens au frottement simple ""doigt"".Attention pas de capteur jus","N°50","F15","30","30,8","False","60","False","33",,"8L","8",,"False",,,,,,"False",,,,,,,,,,,"960,83",,,,,"False",,,"127","Vrai","1.2","F15","F15","263","F15","183","F15","30",,"Na",,,,"False",,,,,,"940","856","317","NON",,,,,,,,,,,,,
"VL20015","09/02/2026 03:55","10/02/2026 01:47","huile soin boost 5 omega","2601081",,,"Lotion bleu",,"Contour des yeux","26/02/10","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[8cfb88cd6dae4eea99a37e6b95a1ecf6][1]_[1].jpeg","HT","non",,"mention ne tiens pas au scotch validation labo car tiens au frottement simple ""doigt"".Attention pas de capteur jus","N°50","F15","30","30,2","False","60","False","33",,"8L","8",,"False",,,,,,"False",,,,,,,,,,,"960,83",,,,,"False",,,"127","Vrai","1.2","F15","F15","263","F15","183","F15","30",,"Na",,,,"False",,,,,,"940","856","317","NON",,,,,,,,,,,,,
"GT23024","20/06/2024 02:49","09/02/2026 23:12","Lotion tonique","N.C",,,,,,"N.C",,,,,,,"F1","400","N.C","False","250","False","38","0","14T","14","250","False","44",,"14T","14","125","False","30",,"14T","14","125","29",,"14T","14","MO 2","993,6","191","0","0","0","False","0",,"0","Vrai","1","F1","F1","215","F1","102","F1","18","250",,"80","0","0","False",,,,"0","0",,,,,,,,,,,,,,,,,
"GT24017","20/06/2024 02:49","09/02/2026 23:12","Eau micellaire ","2508040",,,,,,"25/09/23","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[4eac257350cc4f1eb2760f7f05a2f648][2]_[19].jpeg","Thomas","oui",,,"22","F1","400","400,4","False","60","False","35","0","14T","14x42","250","Vrai","50",,"14TL","14x42","250","Vrai","50",,"14TL","14x42",,,,,,"MO1R","994,79","191","15","0","0","False","0",,"205","False","0.8","F1","F1","215","F1","101","F1","20","300","265","80","70","230","Vrai","OUI","258","97","570","180,6","999,27","0,6","21,5","SIMPLE",,"OUI","VRT21101",,"Nc","Nc","Nc",,"OUI",,,"OUI","OUI"
"Gt25007","15/10/2025 04:48","09/02/2026 23:12","Lait corps hydratation 24H","2509138",,,,,,"25/10/15",,"Ht","No ",,,"N°80","F1","400","401,1","False","250","False","70",,"12D","12","125","False","70",,"12D","12","60","False","32",,"12D","12",,,,,,"MO 1","994,36","189","28",,,"False",,,,"False","1","F1","F1","219","F1","9,9","F1","21",,"266",,,,"Vrai","Oui","182","9,9","602",,"998,99","0,55","230","SIMPLE",,"Oui","VRT15111",,"Nc","Nc","Oui",,"OUI",,,"OUI","OUI"
"Gt24015","06/10/2025 22:26","09/02/2026 23:12","Lait Velouté Démaquillant ","2508084",,,,,,"25/10/07","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[061dc260598b4ed8bb0ef2f5abeaf4b2][1]_[4].jpeg","jb","Non",,,"N°1","F1","400","401.2","False","250","False","47",,"12D","12x42","250","False","47",,"12D","12x42","60","Vrai","59",,"12D","12x42",,,,,,"MO 1","994,34","195","32",,,"False",,,,"False","1.1","F1","F1","198","F1","99","F1","21",,"265",,,,"False",,"181","603","95","178","999,13","0,4","20,2","SIMPLE",,"OUI","VRT21103",,"Nc","Nc","Nc",,"OUI",,,"OUI","OUI"
"Vt18003","23/10/2025 06:06","09/02/2026 23:12","Serum redensifiant intense","2509201",,,,,,"25/10/24",,"Ht","Non",,"Squizz OBLIGATOIRE SI VRAC AU SOL","N°52","F7","30","30,5","False","60","Vrai","32",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,,"961,07","10,7","4,3",,,"False",,,"131","Vrai","1,5","F7","F7","132","F7","138","F7","30",,"179",,,,"False","non",,,,,,,,"SIMPLE Cran",,"Plan de joint",,,,,,,,,,,
"VE23011","08/12/2025 05:12","09/02/2026 23:12","Sérum magistral Red focus","2511039",,,,,,"25/12/08","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[0aa23592266b42558ef563643da3abf2][1]_[1].jpeg","HT","Non",,,"N°53","F19","30","31,7","False","60","False","33",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,,"960,16","108","44",,,"False",,,"141","Vrai","1","F19","F19","134","F19","133","F19",,,"175",,,,"False","Non",,,,,"980","81","162","SIMPLE",,"Oui","VRE12153",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI","OUI"
,"15/10/2025 04:40","09/02/2026 23:12","Lait corps hydratation 24h","2509138",,,,,,"25/10/30",,"Ht","Non",,,"N°80","F1","400","401,5","False","250","False","70",,"12D","12","125","False","70",,"12D","12","60","False","32",,"12D","12",,,,,,,"994,36","189","29",,,"False",,,"210","Vrai","1","F1","F1","218","F1","9,9","F1","21",,"261",,,,"Vrai","OUI","182","9,9","62",,"998,99","0,5","230","SIMPLE",,"Oui","VRT15111",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI","OUI"
"Vl20022","23/10/2025 00:28","09/02/2026 23:11","Contour des yeux","2509213",,,,,,"25/10/23",,"Ht","Non",,"Ajout rondele F5x25,7 attention pas de contrôle jus","N°82","F5","16",,"False","60","Vrai","18",,"8MW","8",,"False",,,,,,"False",,,,,,,,,,"MW","950,92",,,,"163","Vrai","388","F9","111","False",,,,,,,,"30",,"158",,,,"False","Non",,,,,,,,"NON",,"Non",,,,,,,,,,,
"Gt25007","15/10/2025 23:58","09/02/2026 23:11","Lait corps hydratation 24H","2509141",,,,,,"25/10/16",,"Ht","No ",,,"N°80","F1","400","400,8","False","250","False","70",,"12D","12","125","False","70",,"12D","12","60","False","32",,"12D","12",,,,,,"MO 1","994,36","189","28",,,"False",,,,"False","1","F1","F1","219","F1","9,9","F1","21",,"266",,,,"Vrai","Oui","182","9,9","602",,"998,99","0,55","230","SIMPLE",,"Oui","VRT15111",,"Nc","Nc","Oui",,"OUI",,,"OUI","OUI"
"gt24016","24/09/2025 01:50","09/02/2026 23:11","Lotion tonique de beauté","2507103",,,,,,"25/09/29","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[a75b40717aba457280e5329219c1c8f5][1]_[6].jpeg","Thomas ","Oui",,,"24","F1","400","401,3","False","60","False","45","0","14T","14x42","250","Vrai","50","0","14TL","14x42","250","Vrai","45","0","14TL","14x42",,,"0",,,"MO1R","994,79","197","27",,"27,9","False",,,,"False","1,2","F1","F1","21,5","F2","10,2","F1","21",,"26,5",,,,"Vrai","OUI","180","95","63",,"9992,7","0,6","21,5","SIMPLE",,"OUI","VRT21141",,"OUI","NON","Nc",,"OUI",,,"OUI","OUI"
"Gt24015","08/09/2025 22:12","09/02/2026 23:11","Lait Velouté Démaquillant ","2506070",,,,,,"25/09/09",,"Ht","Non",,"Essai avec squiz","N°1","F1","400","400,5","False","250","False","47",,"12D","12x42","250","False","47",,"12D","12x42","60","Vrai","59",,"12D","12x42",,,,,,"MO 1","994,34","195","32",,,"False",,,,"False","1","F1","F1","198","F1","99","F1","21",,"265",,,,"Vrai","OUI","181","603","95",,"999,13","0,4","20,2","SIMPLE",,"OUI","VRT21103",,"Nc","Nc","Nc",,"OUI",,,"OUI","OUI"
"Vp15001","06/02/2026 04:29","09/02/2026 23:11","Lotion bleue","2601005",,,,,,"26/02/05",,"Ht","Oui",,"Attention vérifier deuxièmes becs surdoué aléatoire 1/10","N°47","F4","250","251","False","60","False","28",,"14T","14x42","250","Vrai","60",,"14TL","14x42",,"False",,,,,,,,,,"MO1R","990,1","180","34",,,"False",,,"205","Vrai","1,2","F1","F1","199","F4","59","F4","21",,"258",,,,"False","Non",,,,,,,,"NON",,,"VRP15201",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"KT24006","29/09/2025 03:50","09/02/2026 23:11","Lotion tonique de beauté (chine)","2507103",,,,,,"25/12/17",,"Ht","Oui","Roma",,"N°2","F2","500","500,5","False","60","False","69","0","14T","14x42","250","Vrai","60","0","14TL","14","250","Vrai","55","0","14TL","14",,,"0",,,"MO1R","980,3","160","19","0","0","False","0",,"175","Vrai","01,2","F1","F1","176","F2","134","F2","16",,,,,,"False",,"144","128","535","0","333","79","221","SIMPLE",,"Oui","VRT21141",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
"KE23007","08/12/2025 02:20","09/02/2026 23:10","Sérum magistral Red focus","2511039",,,,,,"25/12/08","Reserved_ImageAttachment_[15]_[D_x00e9_marrage][32]_[eae54975876e4df690c16e4c1bebe1bc][1]_[1].jpeg","ht","Non",,,"N°","F5","60","60,8","False","125","Vrai","20",,"8MW","8","60","Vrai","29",,"8MW","8",,"False",,,,,,,,,,"MW","960’17","107","40",,,"False",,,"141","Vrai","1,1",,"F15","134","F5","133","F5","20",,,,,,"False",,,,,,"980","91","291","SIMPLE",,"Oui","VRE12153",,"Nc","Nc","Oui",,"OUI","OUI",,"OUI","OUI"
"KT22017","29/09/2025 03:51","09/02/2026 23:10","Lotion tonique de beauté","2507103A",,,,,,"25/09/29",,"Ht","Oui","Roma",,"N°2","F2","500",,"False","60","False","69","0","14T","14x42","250","Vrai","60","0","14TL","14","250","Vrai","55","0","14TL","14",,,"0",,,"MO1R","980,3","160","19","0","0","False","0",,"175","False","01,2","F1","F1","176","F2","134","F2","16",,,,,,"False",,"144","128","535","0","333","79","221","SIMPLE",,"Oui","VRT21141",,"OUI","NON","Nc",,"OUI",,,"OUI","OUI"
"Vt22011","21/10/2025 05:47","09/02/2026 23:10","Écume d'eau ","2509025",,,,,,"25/10/21",,"Ht","Oui",,,"N°32","F4","150","150.2","False","60","Vrai","31","0","14T","14x42","250","Vrai","32",,"14TL",,,"False",,,,,,,,,,"MO1R","970,3","134","29","0","0","False","0",,"168","Vrai","1","F4","F4","150","F4","116","F4","25",,"217.5",,,,"False","Non",,,"0",,,,,"NON",,"Non",,,,,,,,,,,
"KT24006","17/12/2025 23:25","09/02/2026 23:08","Lotion tonique de beauté (chine)","2511126",,,,,,"25/12/18",,"Ht","Oui","Roma",,"N°2","F2","500","502,4","False","60","False","62,5","0","14T","14x42","250","Vrai","60","0","14TL","14","250","Vrai","57","0","14TL","14",,,"0",,,"MO 2","980,3","160","19","0","0","False","0",,"175","Vrai","01,2","F1","F1","176","F2","134","F2","23",,,,,,"False",,"144","128","535",,"333","79","221","SIMPLE",,"Oui","VRT21141",,"OUI","NON","Nc",,"OUI","OUI",,"OUI","OUI"
